Data;Fechamento;Abertura;Máxima;Mínima
31.12.2019;27.27;27.27;27.27;27.27
30.12.2019;27.26;27.26;27.26;27.26
29.12.2019;27.25;27.25;27.25;27.25
28.12.2019;27.24;27.24;27.24;27.24
27.12.2019;27.22;27.22;27.22;27.22
26.12.2019;27.21;27.21;27.21;27.21
25.12.2019;27.20;27.20;27.20;27.20
24.12.2019;27.19;27.19;27.19;27.19
23.12.2019;27.18;27.18;27.18;27.18
22.12.2019;27.17;27.17;27.17;27.17
21.12.2019;27.16;27.16;27.16;27.16
20.12.2019;27.15;27.15;27.15;27.15
19.12.2019;27.14;27.14;27.14;27.14
18.12.2019;27.13;27.13;27.13;27.13
17.12.2019;27.11;27.11;27.11;27.11
16.12.2019;27.10;27.10;27.10;27.10
15.12.2019;27.09;27.09;27.09;27.09
14.12.2019;27.08;27.08;27.08;27.08
13.12.2019;27.07;27.07;27.07;27.07
12.12.2019;27.06;27.06;27.06;27.06
11.12.2019;27.05;27.05;27.05;27.05
10.12.2019;27.04;27.04;27.04;27.04
09.12.2019;27.03;27.03;27.03;27.03
08.12.2019;27.02;27.02;27.02;27.02
07.12.2019;27.00;27.00;27.00;27.00
06.12.2019;26.99;26.99;26.99;26.99
05.12.2019;26.98;26.98;26.98;26.98
04.12.2019;26.97;26.97;26.97;26.97
03.12.2019;26.96;26.96;26.96;26.96
02.12.2019;26.95;26.95;26.95;26.95
01.12.2019;26.94;26.94;26.94;26.94
30.11.2019;27.19;27.19;27.19;27.19
29.11.2019;27.18;27.18;27.18;27.18
28.11.2019;27.17;27.17;27.17;27.17
27.11.2019;27.16;27.16;27.16;27.16
26.11.2019;27.15;27.15;27.15;27.15
25.11.2019;27.14;27.14;27.14;27.14
24.11.2019;27.13;27.13;27.13;27.13
23.11.2019;27.12;27.12;27.12;27.12
22.11.2019;27.11;27.11;27.11;27.11
21.11.2019;27.10;27.10;27.10;27.10
20.11.2019;27.08;27.08;27.08;27.08
19.11.2019;27.07;27.07;27.07;27.07
18.11.2019;27.06;27.06;27.06;27.06
17.11.2019;27.05;27.05;27.05;27.05
16.11.2019;27.04;27.04;27.04;27.04
15.11.2019;27.03;27.03;27.03;27.03
14.11.2019;27.02;27.02;27.02;27.02
13.11.2019;27.01;27.01;27.01;27.01
12.11.2019;27.00;27.00;27.00;27.00
11.11.2019;26.99;26.99;26.99;26.99
10.11.2019;26.97;26.97;26.97;26.97
09.11.2019;26.96;26.96;26.96;26.96
08.11.2019;26.95;26.95;26.95;26.95
07.11.2019;26.94;26.94;26.94;26.94
06.11.2019;26.93;26.93;26.93;26.93
05.11.2019;26.92;26.92;26.92;26.92
04.11.2019;26.91;26.91;26.91;26.91
03.11.2019;26.90;26.90;26.90;26.90
02.11.2019;26.89;26.89;26.89;26.89
01.11.2019;26.88;26.88;26.88;26.88
31.10.2019;27.14;27.14;27.14;27.14
30.10.2019;27.13;27.13;27.13;27.13
29.10.2019;27.12;27.12;27.12;27.12
28.10.2019;27.11;27.11;27.11;27.11
27.10.2019;27.10;27.10;27.10;27.10
26.10.2019;27.09;27.09;27.09;27.09
25.10.2019;27.08;27.08;27.08;27.08
24.10.2019;27.07;27.07;27.07;27.07
23.10.2019;27.06;27.06;27.06;27.06
22.10.2019;27.04;27.04;27.04;27.04
21.10.2019;27.03;27.03;27.03;27.03
20.10.2019;27.02;27.02;27.02;27.02
19.10.2019;27.01;27.01;27.01;27.01
18.10.2019;27.00;27.00;27.00;27.00
17.10.2019;26.99;26.99;26.99;26.99
16.10.2019;26.98;26.98;26.98;26.98
15.10.2019;26.97;26.97;26.97;26.97
14.10.2019;26.96;26.96;26.96;26.96
12.10.2019;26.93;26.93;26.93;26.93
12.10.2019;26.93;26.93;26.93;26.93
11.10.2019;26.92;26.92;26.92;26.92
10.10.2019;26.91;26.91;26.91;26.91
09.10.2019;26.90;26.90;26.90;26.90
08.10.2019;26.89;26.89;26.89;26.89
07.10.2019;26.88;26.88;26.88;26.88
06.10.2019;26.87;26.87;26.87;26.87
05.10.2019;26.86;26.86;26.86;26.86
04.10.2019;26.85;26.85;26.85;26.85
03.10.2019;26.84;26.84;26.84;26.84
02.10.2019;26.82;26.82;26.82;26.82
01.10.2019;26.81;26.81;26.81;26.81
30.09.2019;27.07;27.07;27.07;27.07
29.09.2019;27.06;27.06;27.06;27.06
28.09.2019;27.05;27.05;27.05;27.05
27.09.2019;27.04;27.04;27.04;27.04
26.09.2019;27.03;27.03;27.03;27.03
25.09.2019;27.01;27.01;27.01;27.01
24.09.2019;27.00;27.00;27.00;27.00
23.09.2019;26.99;26.99;26.99;26.99
22.09.2019;26.98;26.98;26.98;26.98
21.09.2019;26.97;26.97;26.97;26.97
20.09.2019;26.96;26.96;26.96;26.96
19.09.2019;26.95;26.95;26.95;26.95
18.09.2019;26.94;26.94;26.94;26.94
17.09.2019;26.93;26.93;26.93;26.93
16.09.2019;26.92;26.92;26.92;26.92
15.09.2019;26.90;26.90;26.90;26.90
14.09.2019;26.89;26.89;26.89;26.89
13.09.2019;26.88;26.88;26.88;26.88
12.09.2019;26.87;26.87;26.87;26.87
11.09.2019;26.86;26.86;26.86;26.86
10.09.2019;26.85;26.85;26.85;26.85
09.09.2019;26.84;26.84;26.84;26.84
08.09.2019;26.83;26.83;26.83;26.83
07.09.2019;26.82;26.82;26.82;26.82
06.09.2019;26.81;26.81;26.81;26.81
05.09.2019;26.79;26.79;26.79;26.79
04.09.2019;26.78;26.78;26.78;26.78
03.09.2019;26.77;26.77;26.77;26.77
02.09.2019;26.76;26.76;26.76;26.76
01.09.2019;26.75;26.75;26.75;26.75
31.08.2019;27.02;27.02;27.02;27.02
30.08.2019;27.01;27.01;27.01;27.01
29.08.2019;27.00;27.00;27.00;27.00
28.08.2019;26.98;26.98;26.98;26.98
27.08.2019;26.97;26.97;26.97;26.97
26.08.2019;26.96;26.96;26.96;26.96
25.08.2019;26.95;26.95;26.95;26.95
24.08.2019;26.94;26.94;26.94;26.94
23.08.2019;26.93;26.93;26.93;26.93
