Data;Fechamento;Abertura;Máxima;Mínima
23.08.2019;10176.0;10117.0;10215.0;10063.0
22.08.2019;10117.0;10147.0;10247.0;9790.0
21.08.2019;10146.0;10795.0;10825.0;9880.0
20.08.2019;10793.0;10947.0;10986.0;10588.0
19.08.2019;10937.0;10329.0;10960.0;10280.0
18.08.2019;10327.0;10230.0;10529.0;10086.0
17.08.2019;10228.0;10372.0;10487.0;10004.1
16.08.2019;10366.0;10324.0;10568.0;9783.4
15.08.2019;10327.0;10067.0;10470.0;9522.5
14.08.2019;10067.0;10904.0;10909.0;9980.0
13.08.2019;10904.0;11411.0;11468.0;10801.0
12.08.2019;11404.0;11577.0;11578.8;11272.0
11.08.2019;11586.0;11308.0;11594.0;11158.0
10.08.2019;11314.0;11892.0;12003.0;11263.0
09.08.2019;11893.0;12051.0;12092.7;11711.0
08.08.2019;12060.0;11999.0;12126.0;11570.0
07.08.2019;11997.0;11472.0;12122.0;11386.0
06.08.2019;11471.2;11824.0;12307.0;11268.0
05.08.2019;11808.0;10974.0;11938.0;10973.0
04.08.2019;10973.0;10822.0;11060.0;10595.0
03.08.2019;10822.0;10520.0;10910.0;10506.0
02.08.2019;10519.0;10400.0;10648.3;10345.0
01.08.2019;10399.0;10096.0;10500.0;9899.9
31.07.2019;10088.0;9588.9;10099.0;9575.5
30.07.2019;9589.0;9503.5;9736.0;9401.6
29.07.2019;9507.0;9530.0;9690.0;9396.6
28.07.2019;9519.0;9463.1;9604.2;9112.3
27.07.2019;9465.7;9840.3;10189.0;9300.3
26.07.2019;9842.5;9888.0;9899.0;9672.0
25.07.2019;9890.1;9772.0;10180.0;9735.0
24.07.2019;9771.0;9859.0;9917.7;9541.9
23.07.2019;9854.9;10330.0;10330.0;9824.5
22.07.2019;10329.0;10572.0;10667.0;10094.0
21.07.2019;10569.4;10741.0;10811.0;10300.0
20.07.2019;10740.0;10517.6;11085.0;10402.0
19.07.2019;10519.0;10624.0;10759.0;10132.7
18.07.2019;10622.0;9691.2;10750.0;9271.6
17.07.2019;9683.2;9418.4;9963.1;9090.0
16.07.2019;9410.0;10813.0;10991.0;9378.0
15.07.2019;10820.0;10193.0;11043.0;9920.6
14.07.2019;10206.8;11324.0;11390.0;10125.0
13.07.2019;11312.0;11779.0;11803.0;10806.0
12.07.2019;11765.0;11327.0;11900.0;11100.0
11.07.2019;11340.0;12092.0;12092.0;11006.0
10.07.2019;12093.0;12564.0;13.173.0;11572.0
09.07.2019;12553.0;12301.5;12811.0;12173.0
08.07.2019;12301.0;11484.0;12382.0;11339.0
07.07.2019;11486.0;11276.0;11618.0;11121.6
06.07.2019;11283.0;10983.0;11720.0;10983.0
05.07.2019;10998.0;11141.0;11440.0;10802.0
04.07.2019;11169.0;12000.0;12063.5;11057.0
03.07.2019;11984.0;10903.0;12004.0;10903.0
02.07.2019;10866.0;10639.8;10961.0;9745.1
01.07.2019;10639.0;10777.0;11221.0;10099.0
30.06.2019;10745.0;11973.0;12229.0;10705.0
29.06.2019;11921.0;12350.7;12350.7;11375.0
28.06.2019;12349.0;11183.0;12404.0;10812.0
27.06.2019;11200.0;12876.0;13.222.0;10397.0
26.06.2019;12876.0;11746.0;13.764.0;11693.0
25.06.2019;11751.0;11070.0;11780.0;10992.4
