Data;Fechamento;Abertura;Máxima;Mínima
22.08.2019;4.0693;4.0270;4.0813;4.0178
21.08.2019;4.0269;4.0546;4.0551;4.0129
20.08.2019;4.0542;4.0754;4.0761;4.0268
19.08.2019;4.0743;4.0023;4.0758;3.9897
16.08.2019;4.0058;3.9918;4.0080;3.9749
15.08.2019;3.9910;4.0503;4.0515;3.9785
14.08.2019;4.0526;3.9639;4.0539;3.9624
13.08.2019;3.9660;3.9862;4.0136;3.9454
12.08.2019;3.9855;3.9393;4.0126;3.9382
09.08.2019;3.9416;3.9203;3.9504;3.9200
08.08.2019;3.9199;3.9694;3.9703;3.9184
07.08.2019;3.9691;3.9619;3.9931;3.9449
06.08.2019;3.9612;3.9758;3.9866;3.9356
05.08.2019;3.9783;3.8859;3.9786;3.8859
02.08.2019;3.8893;3.8411;3.8937;3.8397
01.08.2019;3.8403;3.8165;3.8618;3.8115
31.07.2019;3.8129;3.7897;3.8236;3.7474
30.07.2019;3.7906;3.7824;3.8000;3.7751
29.07.2019;3.7816;3.7750;3.8007;3.7750
26.07.2019;3.7761;3.7795;3.7946;3.7593
25.07.2019;3.7790;3.7744;3.8068;3.7546
24.07.2019;3.7736;3.7750;3.7797;3.7520
23.07.2019;3.7737;3.7405;3.7794;3.7402
22.07.2019;3.7407;3.7456;3.7481;3.7288
19.07.2019;3.7494;3.7199;3.7550;3.7199
18.07.2019;3.7193;3.7645;3.7645;3.7178
17.07.2019;3.7641;3.7692;3.7692;3.7542
16.07.2019;3.7687;3.7559;3.7717;3.7515
15.07.2019;3.7567;3.7367;3.7588;3.7281
12.07.2019;3.7373;3.7577;3.7644;3.7304
11.07.2019;3.7551;3.7549;3.7675;3.7346
10.07.2019;3.7546;3.7883;3.7942;3.7496
09.07.2019;3.8005;3.8076;3.8076;3.8005
08.07.2019;3.8073;3.8160;3.8179;3.7991
05.07.2019;3.8221;3.8024;3.8386;3.7976
04.07.2019;3.8011;3.8266;3.8293;3.7828
03.07.2019;3.8272;3.8468;3.8758;3.8150
02.07.2019;3.8456;3.8412;3.8813;3.8182
01.07.2019;3.8405;3.8375;3.8488;3.8086
28.06.2019;3.8520;3.8189;3.8520;3.8128
27.06.2019;3.8196;3.8461;3.8728;3.8171
26.06.2019;3.8445;3.8481;3.8590;3.8314
25.06.2019;3.8480;3.8264;3.8590;3.8182
24.06.2019;3.8254;3.8216;3.8381;3.8065
21.06.2019;3.8192;3.8313;3.8458;3.8119
20.06.2019;3.8390;3.8387;3.8397;3.8387
19.06.2019;3.8390;3.8603;3.8840;3.8376
18.06.2019;3.8603;3.8899;3.8899;3.8489
17.06.2019;3.8883;3.8967;3.9245;3.8792
14.06.2019;3.8958;3.8491;3.9135;3.8479
13.06.2019;3.8487;3.8670;3.8675;3.8342
12.06.2019;3.8672;3.8573;3.8723;3.8293
11.06.2019;3.8571;3.8870;3.8870;3.8420
10.06.2019;3.8887;3.8763;3.9003;3.8674
07.06.2019;3.8789;3.8806;3.8864;3.8505
06.06.2019;3.8798;3.8813;3.8878;3.8563
05.06.2019;3.8811;3.8569;3.9036;3.8357
04.06.2019;3.8548;3.8857;3.8899;3.8485
03.06.2019;3.8859;3.9233;3.9349;3.8823
31.05.2019;3.9228;3.9802;3.9988;3.9090
30.05.2019;3.9818;3.9743;3.9931;3.9542
29.05.2019;3.9747;4.0247;4.0408;3.9678
28.05.2019;4.0247;4.0432;4.0539;4.0101
27.05.2019;4.0423;4.0134;4.0441;4.0042
24.05.2019;4.0225;4.0426;4.0485;4.0092
23.05.2019;4.0401;4.0405;4.0717;4.0255
22.05.2019;4.0403;4.0384;4.0530;4.0062
21.05.2019;4.0390;4.0966;4.1136;4.0329
20.05.2019;4.0968;4.1014;4.1217;4.0774
17.05.2019;4.0999;4.0480;4.1129;4.0472
16.05.2019;4.0469;4.0014;4.0542;3.9933
15.05.2019;4.0017;3.9765;4.0218;3.9735
14.05.2019;3.9751;3.9926;3.9952;3.9661
13.05.2019;3.9939;3.9771;4.0057;3.9733
10.05.2019;3.9572;3.9470;3.9736;3.9363
09.05.2019;3.9466;3.9283;3.9818;3.9283
08.05.2019;3.9285;3.9708;3.9781;3.9251
07.05.2019;3.9710;3.9710;4.0006;3.9640
06.05.2019;3.9695;3.9386;3.9754;3.9386
03.05.2019;3.9382;3.9669;3.9684;3.9304
02.05.2019;3.9661;3.9198;3.9722;3.9181
