Data;Fechamento;Abertura;Máxima;Mínima
22.08.2019;25.22;25.50;25.72;25.16
21.08.2019;25.45;24.35;25.99;24.18
20.08.2019;24.02;23.91;24.19;23.68
19.08.2019;24.03;24.30;24.50;23.85
16.08.2019;23.91;24.72;24.77;23.89
15.08.2019;24.23;24.99;25.00;24.14
14.08.2019;24.92;25.26;25.38;24.78
13.08.2019;25.79;25.36;26.13;25.23
12.08.2019;25.45;25.72;25.72;25.34
09.08.2019;26.08;26.09;26.48;25.90
08.08.2019;26.14;25.90;26.14;25.66
07.08.2019;25.40;25.24;25.53;24.81
06.08.2019;25.68;25.70;26.02;25.48
05.08.2019;25.35;25.60;25.93;25.32
02.08.2019;26.31;26.16;26.68;26.08
01.08.2019;25.60;26.30;26.56;25.16
31.07.2019;26.08;26.39;26.50;26.02
30.07.2019;26.24;26.35;26.49;26.18
29.07.2019;26.38;26.22;26.44;25.96
26.07.2019;26.14;26.80;26.80;26.10
25.07.2019;26.89;27.47;27.50;26.81
24.07.2019;27.35;27.59;27.64;27.30
23.07.2019;27.52;27.51;27.63;27.40
22.07.2019;27.49;27.62;27.75;27.36
19.07.2019;27.44;27.50;27.60;27.37
18.07.2019;27.51;27.76;27.81;27.43
17.07.2019;27.68;27.99;28.00;27.64
16.07.2019;27.83;28.28;28.33;27.60
15.07.2019;28.18;28.59;28.65;28.18
12.07.2019;28.53;28.54;28.74;28.41
11.07.2019;28.40;28.20;28.51;28.16
10.07.2019;28.07;28.00;28.27;27.97
08.07.2019;27.65;27.50;27.72;27.44
05.07.2019;27.40;27.27;27.59;27.13
04.07.2019;27.39;27.38;27.58;27.32
03.07.2019;27.13;27.04;27.20;26.89
02.07.2019;26.82;27.26;27.26;26.65
01.07.2019;27.26;27.84;28.03;27.21
28.06.2019;27.41;27.45;27.61;27.11
27.06.2019;27.23;27.44;27.55;27.01
26.06.2019;27.67;27.55;27.93;27.52
25.06.2019;27.51;28.14;28.16;27.38
24.06.2019;28.25;28.32;28.38;28.12
21.06.2019;28.28;27.95;28.39;27.95
19.06.2019;27.52;27.35;27.59;27.22
18.06.2019;27.45;27.30;27.52;27.25
17.06.2019;27.11;27.08;27.43;26.96
14.06.2019;27.06;27.20;27.25;26.90
13.06.2019;27.18;27.15;27.39;27.08
12.06.2019;26.85;27.02;27.12;26.64
11.06.2019;27.16;26.89;27.29;26.71
10.06.2019;26.65;26.60;26.89;26.52
07.06.2019;26.76;26.69;26.83;26.37
06.06.2019;26.28;26.17;26.63;25.72
05.06.2019;25.86;26.18;26.29;25.56
04.06.2019;26.20;26.29;26.37;26.03
03.06.2019;25.99;25.88;26.32;25.85
31.05.2019;25.55;25.79;26.27;25.42
30.05.2019;26.15;26.51;26.86;25.99
29.05.2019;26.50;26.49;26.71;26.26
28.05.2019;26.80;26.13;26.80;26.13
27.05.2019;26.24;26.30;26.54;26.17
24.05.2019;26.09;26.15;26.36;25.93
23.05.2019;25.84;25.90;25.92;25.52
22.05.2019;26.29;26.34;26.47;25.96
21.05.2019;26.39;25.60;26.39;25.32
20.05.2019;25.42;24.59;25.42;24.55
17.05.2019;24.59;24.96;25.32;24.38
16.05.2019;25.17;25.67;25.94;25.14
15.05.2019;25.78;25.64;25.79;25.56
14.05.2019;25.90;26.07;26.13;25.75
13.05.2019;25.80;26.11;26.37;25.72
10.05.2019;26.58;26.77;26.82;26.32
09.05.2019;26.83;27.10;27.12;26.64
08.05.2019;27.37;26.31;27.47;26.29
07.05.2019;26.35;26.65;26.66;26.12
06.05.2019;26.77;26.39;26.77;26.36
03.05.2019;26.85;26.90;27.07;26.85
02.05.2019;26.73;26.80;26.82;26.52
30.04.2019;27.11;27.52;27.66;26.98
29.04.2019;27.37;27.55;27.62;27.34
26.04.2019;27.25;27.68;27.77;27.06
25.04.2019;27.78;27.43;28.05;27.41
24.04.2019;27.58;27.70;27.87;27.19
23.04.2019;27.66;27.70;27.98;27.66
22.04.2019;27.42;27.67;27.87;27.30
18.04.2019;27.58;27.34;27.87;27.23
17.04.2019;26.73;27.10;27.32;26.20
16.04.2019;26.70;25.93;27.04;25.61
15.04.2019;25.91;26.33;26.56;25.53
12.04.2019;25.83;26.47;26.97;25.57
11.04.2019;28.00;28.70;28.70;27.87
10.04.2019;28.78;29.55;29.57;28.78
09.04.2019;29.16;29.03;29.24;28.67
08.04.2019;29.25;29.06;29.39;28.98
05.04.2019;28.78;28.54;28.89;28.21
04.04.2019;28.47;27.77;28.47;27.37
03.04.2019;27.54;28.53;28.56;27.54
02.04.2019;28.29;28.14;28.30;27.86
01.04.2019;28.00;28.40;28.42;27.87
29.03.2019;28.06;28.45;28.53;27.74
28.03.2019;28.06;27.25;28.06;26.95
27.03.2019;27.34;28.21;28.21;27.34
26.03.2019;28.63;27.74;28.68;27.72
25.03.2019;27.34;26.83;27.59;26.82
22.03.2019;27.00;27.94;28.14;27.00
21.03.2019;28.56;28.84;28.97;27.92
20.03.2019;28.97;29.20;29.60;28.90
19.03.2019;29.20;28.85;29.50;28.60
18.03.2019;28.74;28.35;28.79;28.26
15.03.2019;28.25;28.16;28.39;28.11
14.03.2019;28.19;28.15;28.20;27.91
