Data;Fechamento;Abertura;Máxima;Mínima
31.12.2019;16588.5;16588.5;16588.5;16588.5
30.12.2019;16561.0;16561.0;16561.0;16561.0
29.12.2019;16533.6;16533.6;16533.6;16533.6
28.12.2019;16506.2;16506.2;16506.2;16506.2
27.12.2019;16478.8;16478.8;16478.8;16478.8
26.12.2019;16451.4;16451.4;16451.4;16451.4
25.12.2019;16423.9;16423.9;16423.9;16423.9
24.12.2019;16396.5;16396.5;16396.5;16396.5
23.12.2019;16369.1;16369.1;16369.1;16369.1
22.12.2019;16341.7;16341.7;16341.7;16341.7
21.12.2019;16314.3;16314.3;16314.3;16314.3
20.12.2019;16286.9;16286.9;16286.9;16286.9
19.12.2019;16259.4;16259.4;16259.4;16259.4
18.12.2019;16232.0;16232.0;16232.0;16232.0
17.12.2019;16204.6;16204.6;16204.6;16204.6
16.12.2019;16177.2;16177.2;16177.2;16177.2
15.12.2019;16149.8;16149.8;16149.8;16149.8
14.12.2019;16122.4;16122.4;16122.4;16122.4
13.12.2019;16094.9;16094.9;16094.9;16094.9
12.12.2019;16067.5;16067.5;16067.5;16067.5
11.12.2019;16040.1;16040.1;16040.1;16040.1
10.12.2019;16012.7;16012.7;16012.7;16012.7
09.12.2019;15985.3;15985.3;15985.3;15985.3
08.12.2019;15957.9;15957.9;15957.9;15957.9
07.12.2019;15930.4;15930.4;15930.4;15930.4
06.12.2019;15903.0;15903.0;15903.0;15903.0
05.12.2019;15875.6;15875.6;15875.6;15875.6
04.12.2019;15848.2;15848.2;15848.2;15848.2
03.12.2019;15820.8;15820.8;15820.8;15820.8
02.12.2019;15793.4;15793.4;15793.4;15793.4
01.12.2019;15765.9;15765.9;15765.9;15765.9
30.11.2019;15326.1;15326.1;15326.1;15326.1
29.11.2019;15298.7;15298.7;15298.7;15298.7
28.11.2019;15271.2;15271.2;15271.2;15271.2
27.11.2019;15243.8;15243.8;15243.8;15243.8
26.11.2019;15216.4;15216.4;15216.4;15216.4
25.11.2019;15189.0;15189.0;15189.0;15189.0
24.11.2019;15161.6;15161.6;15161.6;15161.6
23.11.2019;15134.1;15134.1;15134.1;15134.1
22.11.2019;15106.7;15106.7;15106.7;15106.7
21.11.2019;15079.3;15079.3;15079.3;15079.3
20.11.2019;15051.9;15051.9;15051.9;15051.9
19.11.2019;15024.5;15024.5;15024.5;15024.5
18.11.2019;14997.1;14997.1;14997.1;14997.1
17.11.2019;14969.6;14969.6;14969.6;14969.6
16.11.2019;14942.2;14942.2;14942.2;14942.2
15.11.2019;14914.8;14914.8;14914.8;14914.8
14.11.2019;14887.4;14887.4;14887.4;14887.4
13.11.2019;14860.0;14860.0;14860.0;14860.0
12.11.2019;14832.6;14832.6;14832.6;14832.6
11.11.2019;14805.1;14805.1;14805.1;14805.1
10.11.2019;14777.7;14777.7;14777.7;14777.7
09.11.2019;14750.3;14750.3;14750.3;14750.3
08.11.2019;14722.9;14722.9;14722.9;14722.9
07.11.2019;14695.5;14695.5;14695.5;14695.5
06.11.2019;14668.1;14668.1;14668.1;14668.1
05.11.2019;14640.6;14640.6;14640.6;14640.6
04.11.2019;14613.2;14613.2;14613.2;14613.2
03.11.2019;14585.8;14585.8;14585.8;14585.8
02.11.2019;14558.4;14558.4;14558.4;14558.4
01.11.2019;14531.0;14531.0;14531.0;14531.0
31.10.2019;14118.5;14118.5;14118.5;14118.5
30.10.2019;14091.1;14091.1;14091.1;14091.1
29.10.2019;14063.7;14063.7;14063.7;14063.7
28.10.2019;14036.3;14036.3;14036.3;14036.3
27.10.2019;14008.8;14008.8;14008.8;14008.8
26.10.2019;13981.4;13981.4;13981.4;13981.4
25.10.2019;13954.0;13954.0;13954.0;13954.0
24.10.2019;13926.6;13926.6;13926.6;13926.6
23.10.2019;13899.2;13899.2;13899.2;13899.2
22.10.2019;13871.8;13871.8;13871.8;13871.8
21.10.2019;13844.3;13844.3;13844.3;13844.3
20.10.2019;13816.9;13816.9;13816.9;13816.9
19.10.2019;13789.5;13789.5;13789.5;13789.5
18.10.2019;13762.1;13762.1;13762.1;13762.1
17.10.2019;13734.7;13734.7;13734.7;13734.7
16.10.2019;13707.3;13707.3;13707.3;13707.3
15.10.2019;13679.8;13679.8;13679.8;13679.8
14.10.2019;13652.4;13652.4;13652.4;13652.4
12.10.2019;13597.6;13597.6;13597.6;13597.6
12.10.2019;13597.6;13597.6;13597.6;13597.6
11.10.2019;13570.2;13570.2;13570.2;13570.2
10.10.2019;13542.8;13542.8;13542.8;13542.8
09.10.2019;13515.3;13515.3;13515.3;13515.3
08.10.2019;13487.9;13487.9;13487.9;13487.9
07.10.2019;13460.5;13460.5;13460.5;13460.5
06.10.2019;13433.1;13433.1;13433.1;13433.1
05.10.2019;13405.7;13405.7;13405.7;13405.7
04.10.2019;13378.3;13378.3;13378.3;13378.3
03.10.2019;13350.8;13350.8;13350.8;13350.8
02.10.2019;13323.4;13323.4;13323.4;13323.4
01.10.2019;13296.0;13296.0;13296.0;13296.0
30.09.2019;12856.1;12856.1;12856.1;12856.1
29.09.2019;12828.7;12828.7;12828.7;12828.7
28.09.2019;12801.3;12801.3;12801.3;12801.3
27.09.2019;12773.9;12773.9;12773.9;12773.9
26.09.2019;12746.5;12746.5;12746.5;12746.5
25.09.2019;12719.0;12719.0;12719.0;12719.0
24.09.2019;12691.6;12691.6;12691.6;12691.6
23.09.2019;12664.2;12664.2;12664.2;12664.2
22.09.2019;12636.8;12636.8;12636.8;12636.8
21.09.2019;12609.4;12609.4;12609.4;12609.4
20.09.2019;12582.0;12582.0;12582.0;12582.0
19.09.2019;12554.5;12554.5;12554.5;12554.5
18.09.2019;12527.1;12527.1;12527.1;12527.1
17.09.2019;12499.7;12499.7;12499.7;12499.7
16.09.2019;12472.3;12472.3;12472.3;12472.3
15.09.2019;12444.9;12444.9;12444.9;12444.9
14.09.2019;12417.5;12417.5;12417.5;12417.5
13.09.2019;12390.0;12390.0;12390.0;12390.0
12.09.2019;12362.6;12362.6;12362.6;12362.6
11.09.2019;12335.2;12335.2;12335.2;12335.2
10.09.2019;12307.8;12307.8;12307.8;12307.8
09.09.2019;12280.4;12280.4;12280.4;12280.4
08.09.2019;12253.0;12253.0;12253.0;12253.0
07.09.2019;12225.5;12225.5;12225.5;12225.5
06.09.2019;12198.1;12198.1;12198.1;12198.1
05.09.2019;12170.7;12170.7;12170.7;12170.7
04.09.2019;12143.3;12143.3;12143.3;12143.3
03.09.2019;12115.9;12115.9;12115.9;12115.9
02.09.2019;12088.4;12088.4;12088.4;12088.4
01.09.2019;12061.0;12061.0;12061.0;12061.0
31.08.2019;11648.6;11648.6;11648.6;11648.6
30.08.2019;11621.2;11621.2;11621.2;11621.2
29.08.2019;11593.7;11593.7;11593.7;11593.7
28.08.2019;11566.3;11566.3;11566.3;11566.3
27.08.2019;11538.9;11538.9;11538.9;11538.9
26.08.2019;11511.5;11511.5;11511.5;11511.5
25.08.2019;11484.1;11484.1;11484.1;11484.1
24.08.2019;11456.7;11456.7;11456.7;11456.7
