Data;Fechamento;Abertura;Máxima;Mínima
31.12.2019;4.0567;4.0567;4.0567;4.0567
30.12.2019;4.0553;4.0553;4.0553;4.0553
29.12.2019;4.0538;4.0538;4.0538;4.0538
28.12.2019;4.0524;4.0524;4.0524;4.0524
27.12.2019;4.0510;4.0510;4.0510;4.0510
26.12.2019;4.0495;4.0495;4.0495;4.0495
25.12.2019;4.0481;4.0481;4.0481;4.0481
24.12.2019;4.0467;4.0467;4.0467;4.0467
23.12.2019;4.0453;4.0453;4.0453;4.0453
22.12.2019;4.0438;4.0438;4.0438;4.0438
21.12.2019;4.0424;4.0424;4.0424;4.0424
20.12.2019;4.0410;4.0410;4.0410;4.0410
19.12.2019;4.0396;4.0396;4.0396;4.0396
18.12.2019;4.0381;4.0381;4.0381;4.0381
17.12.2019;4.0367;4.0367;4.0367;4.0367
16.12.2019;4.0353;4.0353;4.0353;4.0353
15.12.2019;4.0338;4.0338;4.0338;4.0338
14.12.2019;4.0324;4.0324;4.0324;4.0324
13.12.2019;4.0310;4.0310;4.0310;4.0310
12.12.2019;4.0296;4.0296;4.0296;4.0296
11.12.2019;4.0281;4.0281;4.0281;4.0281
10.12.2019;4.0267;4.0267;4.0267;4.0267
09.12.2019;4.0253;4.0253;4.0253;4.0253
08.12.2019;4.0239;4.0239;4.0239;4.0239
07.12.2019;4.0224;4.0224;4.0224;4.0224
06.12.2019;4.0210;4.0210;4.0210;4.0210
05.12.2019;4.0196;4.0196;4.0196;4.0196
04.12.2019;4.0181;4.0181;4.0181;4.0181
03.12.2019;4.0167;4.0167;4.0167;4.0167
02.12.2019;4.0153;4.0153;4.0153;4.0153
01.12.2019;4.0139;4.0139;4.0139;4.0139
30.11.2019;4.0309;4.0309;4.0309;4.0309
29.11.2019;4.0295;4.0295;4.0295;4.0295
28.11.2019;4.0281;4.0281;4.0281;4.0281
27.11.2019;4.0267;4.0267;4.0267;4.0267
26.11.2019;4.0252;4.0252;4.0252;4.0252
25.11.2019;4.0238;4.0238;4.0238;4.0238
24.11.2019;4.0224;4.0224;4.0224;4.0224
23.11.2019;4.0209;4.0209;4.0209;4.0209
22.11.2019;4.0195;4.0195;4.0195;4.0195
21.11.2019;4.0181;4.0181;4.0181;4.0181
20.11.2019;4.0167;4.0167;4.0167;4.0167
19.11.2019;4.0152;4.0152;4.0152;4.0152
18.11.2019;4.0138;4.0138;4.0138;4.0138
17.11.2019;4.0124;4.0124;4.0124;4.0124
16.11.2019;4.0110;4.0110;4.0110;4.0110
15.11.2019;4.0095;4.0095;4.0095;4.0095
14.11.2019;4.0081;4.0081;4.0081;4.0081
13.11.2019;4.0067;4.0067;4.0067;4.0067
12.11.2019;4.0052;4.0052;4.0052;4.0052
11.11.2019;4.0038;4.0038;4.0038;4.0038
10.11.2019;4.0024;4.0024;4.0024;4.0024
09.11.2019;4.0010;4.0010;4.0010;4.0010
08.11.2019;3.9995;3.9995;3.9995;3.9995
07.11.2019;3.9981;3.9981;3.9981;3.9981
06.11.2019;3.9967;3.9967;3.9967;3.9967
05.11.2019;3.9953;3.9953;3.9953;3.9953
04.11.2019;3.9938;3.9938;3.9938;3.9938
03.11.2019;3.9924;3.9924;3.9924;3.9924
02.11.2019;3.9910;3.9910;3.9910;3.9910
01.11.2019;3.9895;3.9895;3.9895;3.9895
31.10.2019;4.0080;4.0080;4.0080;4.0080
30.10.2019;4.0066;4.0066;4.0066;4.0066
29.10.2019;4.0052;4.0052;4.0052;4.0052
28.10.2019;4.0038;4.0038;4.0038;4.0038
27.10.2019;4.0023;4.0023;4.0023;4.0023
26.10.2019;4.0009;4.0009;4.0009;4.0009
25.10.2019;3.9995;3.9995;3.9995;3.9995
24.10.2019;3.9981;3.9981;3.9981;3.9981
23.10.2019;3.9966;3.9966;3.9966;3.9966
22.10.2019;3.9952;3.9952;3.9952;3.9952
21.10.2019;3.9938;3.9938;3.9938;3.9938
20.10.2019;3.9923;3.9923;3.9923;3.9923
19.10.2019;3.9909;3.9909;3.9909;3.9909
18.10.2019;3.9895;3.9895;3.9895;3.9895
17.10.2019;3.9881;3.9881;3.9881;3.9881
16.10.2019;3.9866;3.9866;3.9866;3.9866
15.10.2019;3.9852;3.9852;3.9852;3.9852
14.10.2019;3.9838;3.9838;3.9838;3.9838
12.10.2019;3.9809;3.9809;3.9809;3.9809
12.10.2019;3.9809;3.9809;3.9809;3.9809
11.10.2019;3.9795;3.9795;3.9795;3.9795
10.10.2019;3.9781;3.9781;3.9781;3.9781
09.10.2019;3.9766;3.9766;3.9766;3.9766
08.10.2019;3.9752;3.9752;3.9752;3.9752
07.10.2019;3.9738;3.9738;3.9738;3.9738
06.10.2019;3.9724;3.9724;3.9724;3.9724
05.10.2019;3.9709;3.9709;3.9709;3.9709
04.10.2019;3.9695;3.9695;3.9695;3.9695
03.10.2019;3.9681;3.9681;3.9681;3.9681
